medal;country;athlete_name;games;sport;event;sex
3;Argentina;Juan Martin DEL POTRO;Great Britain;Tennis;singles;Men's
1;Argentina;Argentina;Brazil;Hockey;hockey;Men's
1;Argentina;PARETO Paula;Brazil;Judo;- 48kg (extra-lightweight);Women's
1;Argentina;Lange/Carranza Saroli;Brazil;Sailing;Nacra 17 - Multihull;Mixed
2;Argentina;DEL POTRO Juan Martin;Brazil;Tennis;singles;Men's
2;Argentina;SANCHEZ MOCCIA Rocio/SUCCI Maria Belen/TRINCHINETTI Eugenia Maria/ALONSO Agostina/COSTA BIONDI Valentina Isabel/GORZELANY Agustina/GRANATTO Maria Victoria/MACCARI Sofia/RAPOSO RUIZ de los LLANOS Valentina/SAUZE VALDEZ Victoria/TOCCALINO Sofia/ALBERTARRIO Agustina/BARRIONUEVO Maria Noel/FORCHERIO Maria Emilia/GRANATTO Maria Jose/JANKUNAS Julieta/MERINO Delfina/RETEGUI Micaela;Japan;Hockey;hockey;Women's
3;Argentina;BAZAN VELEZ Lautaro/del MESTRE Felipe/GONZALEZ Luciano/MARE Santiago/MONETA Marcos/REVOL Gaston/ALVAREZ Santiago/CINTI Lucio/ETCHART Rodrigo/ISGRO Rodrigo/MENDY Ignacio/OSADCZUK Matias/SCHULZ German;Japan;Rugby;rugby-7;Men's
3;Argentina;DANANI Santiago/LIMA Bruno/MENDEZ Nicolas/PEREYRA Federico/RAMOS Martin/SOLE Sebastian/CONTE Facundo/de CECCO Luciano/LOSER Agustin/PALACIOS Ezequiel/POGLAJEN Cristian/SANCHEZ Matias;Japan;Volleyball;volleyball;Men's
1;Armenia;Назарян;United States;Wrestling Greco-Roman;48 - 52kg (flyweight);Men's
2;Armenia;Мхитарян;United States;Wrestling Freestyle;- 48kg (light-flyweight);Men's
3;Armenia;Арсен Меликян;Australia;Weightlifting;69 - 77kg (middleweight);Men's
2;Armenia;Tigran Varban MARTIROSYAN;China;Weightlifting;77 - 85kg (light-heavyweight);Men's
3;Armenia;Hrachik JAVAKHYAN;China;Boxing;57 - 60kg (lightweight);Men's
3;Armenia;Gevorg DAVTYAN;China;Weightlifting;69 - 77kg (middleweight);Men's
3;Armenia;Roman AMOYAN;China;Wrestling Greco-Roman;- 55kg;Men's
3;Armenia;Yuri PATRIKEEV;China;Wrestling Greco-Roman;96 - 120kg;Men's
2;Armenia;Arsen JULFALAKYAN;Great Britain;Wrestling Greco-Roman;66 - 74kg;Men's
3;Armenia;Artur ALEKSANYAN;Great Britain;Wrestling Greco-Roman;84 - 96kg;Men's
1;Armenia;ALEKSANYAN Artur;Brazil;Wrestling Greco-Roman;98kg;Men's
2;Armenia;MARTIROSYAN Simon;Brazil;Weightlifting;94 - 105kg (heavyweight);Men's
2;Armenia;MINASYAN Gor;Brazil;Weightlifting;+ 105kg (super heavyweight);Men's
2;Armenia;ARUTYUNYAN Migran;Brazil;Wrestling Greco-Roman;66kg;Men's
2;Armenia;MARTIROSYAN Simon;Japan;Weightlifting;109kg;Men's
2;Armenia;ALEKSANYAN Artur;Japan;Wrestling Greco-Roman;97kg;Men's
3;Armenia;BACHKOV Hovhannes;Japan;Boxing;57 - 63kg (lightweight);Men's
3;Armenia;DAVTYAN Artur;Japan;Gymnastics Artistic;vault;Men's
1;Australia;Edwin FLACK;Greece;Athletics;800m;Men's
1;Australia;Edwin FLACK;Greece;Athletics;1500m;Men's
1;Australia;Frederick C.V. LANE;France;Swimming;200m freestyle;Men's
1;Australia;Frederick C.V. LANE;France;Swimming;200m obstacle event;Men's
3;Australia;Stanley ROWLEY;France;Athletics;60m;Men's
3;Australia;Stanley ROWLEY;France;Athletics;100m;Men's
3;Australia;Stanley ROWLEY;France;Athletics;200m;Men's
2;Australia;Francis GAILEY;United States;Swimming;220y freestyle;Men's
2;Australia;Francis GAILEY;United States;Swimming;440y freestyle;Men's
2;Australia;Francis GAILEY;United States;Swimming;880y freestyle (804.66m);Men's
3;Australia;Francis GAILEY;United States;Swimming;1 mile freestyle;Men's
2;Australia;George PARKER;Belgium;Athletics;3000m walk;Men's
2;Australia;William HERALD/Frank E. BEAUREPAIRE/Henry HAY/Ivan STEDMAN;Belgium;Swimming;4x200m freestyle relay;Men's
3;Australia;Frank E. BEAUREPAIRE;Belgium;Swimming;1500m freestyle;Men's
1;Australia;Nick WINTER;France;Athletics;triple jump;Men's
1;Australia;Richmond EVE;France;Diving;plain high diving;Men's
1;Australia;Andrew CHARLTON;France;Swimming;1500m freestyle;Men's
2;Australia;Ivan STEDMAN/Ernest HENRY/Andrew CHARLTON/Frank BEAUREPAIRE/Maurice CHRISTIE;France;Swimming;4x200m freestyle relay;Men's
3;Australia;Andrew CHARLTON;France;Swimming;400m freestyle;Men's
3;Australia;Frank BEAUREPAIRE;France;Swimming;1500m freestyle;Men's
