medal;country;athlete_name;games;sport;event;sex
3;Indonesia;Hermawan SUSANTO;Spain;Badminton;singles;Men's
1;Indonesia;Субадья/Майнаки;United States;Badminton;doubles;Men's
2;Indonesia;Аудина;United States;Badminton;singles;Women's
3;Indonesia;Кантоно/Антониус;United States;Badminton;doubles;Men's
3;Indonesia;Сусанти;United States;Badminton;singles;Women's
1;Indonesia;;Australia;Badminton;doubles;Men's
2;Indonesia;Хендраван;Australia;Badminton;singles;Men's
2;Indonesia;;Australia;Badminton;doubles;Mixed
2;Indonesia;Рема Лиса Румбевас;Australia;Weightlifting;- 48kg (flyweight);Women's
3;Indonesia;Шри Индрияни;Australia;Weightlifting;- 48kg (flyweight);Women's
3;Indonesia;Винарни Бинти Сламет;Australia;Weightlifting;48 - 53kg (featherweight);Women's
1;Indonesia;Тауфик Хидаят;Greece;Badminton;singles;Men's
2;Indonesia;Лиза Румбевас;Greece;Weightlifting;48 - 53kg (featherweight);Women's
3;Indonesia;Сони Дви Кункоро;Greece;Badminton;singles;Men's
3;Indonesia;Энг Хиан/Флэнди Лимпеле;Greece;Badminton;doubles;Men's
1;Indonesia;Markis KIDO/Hendra SETIAWAN;China;Badminton;doubles;Men's
2;Indonesia;Liliyana NATSIR/Nova WIDIANTO;China;Badminton;doubles;Mixed
3;Indonesia;Maria Kristin YULIANTI;China;Badminton;singles;Women's
3;Indonesia;Eko Yuli IRAWAN;China;Weightlifting;- 56kg (bantamweight);Men's
3;Indonesia;Triyatno TRIYATNO;China;Weightlifting;56 - 62kg (featherweight);Men's
3;Indonesia;Raema Lisa RUMBEWAS;China;Weightlifting;48 - 53kg (featherweight);Women's
2;Indonesia;Triyatno TRIYATNO;Great Britain;Weightlifting;62 - 69kg (lightweight);Men's
2;Indonesia;Citra Febrianti;Great Britain;Weightlifting;48 - 53kg (featherweight);Women's
3;Indonesia;Eko Yuli IRAWAN;Great Britain;Weightlifting;56 - 62kg (featherweight);Men's
1;Indonesia;Natsir/Ahmad;Brazil;Badminton;doubles;Mixed
2;Indonesia;IRAWAN Eko Yuli;Brazil;Weightlifting;56 - 62kg (featherweight);Men's
2;Indonesia;AGUSTIANI Sri Wahyuni;Brazil;Weightlifting;- 48kg (flyweight);Women's
1;Indonesia;RAHAYU Apriyani/Greysia POLII;Japan;Badminton;doubles;Women's
2;Indonesia;IRAWAN Eko Yuli;Japan;Weightlifting;61kg;Men's
3;Indonesia;GINTING Anthony Sinisuka;Japan;Badminton;singles;Men's
3;Indonesia;ABDULLAH Rahmat Erwin;Japan;Weightlifting;73kg;Men's
3;Indonesia;AISAH Windy Cantika;Japan;Weightlifting;49kg;Women's
3;Iran;Jaffar Mohammad SALMASSI;Great Britain;Weightlifting;56 - 60kg (featherweight);Men's
2;Iran;Mahmoud NAMDJOU;Finland;Weightlifting;- 56kg (bantamweight);Men's
2;Iran;Nasser GUIVEGTCHI;Finland;Wrestling Freestyle;57 - 63kg (featherweight);Men's
2;Iran;Gholam Reza TAKHTI;Finland;Wrestling Freestyle;73 - 79kg (middleweight);Men's
3;Iran;Ali MIRZAI;Finland;Weightlifting;- 56kg (bantamweight);Men's
3;Iran;Mahmoud MOLLAGHASSEMI;Finland;Wrestling Freestyle;- 52kg (flyweight);Men's
3;Iran;Djahanbakte TOVFIGHE;Finland;Wrestling Freestyle;63 - 67kg (lightweight);Men's
3;Iran;Abdollah MODJTABAVI;Finland;Wrestling Freestyle;67 - 73kg (welterweight);Men's
1;Iran;Emamali HABIBI-GOUDARZI;Australia / Sweden;Wrestling Freestyle;63 - 67kg (lightweight);Men's
1;Iran;Gholam Reza TAKHTI;Australia / Sweden;Wrestling Freestyle;79 - 87kg (light-heavyweight);Men's
2;Iran;Mohammad Ali KHOJASTEHPOUR;Australia / Sweden;Wrestling Freestyle;- 52kg (flyweight);Men's
2;Iran;Mohammad Mehdi YAGHOUBI;Australia / Sweden;Wrestling Freestyle;52 - 57kg (bantamweight);Men's
3;Iran;Mahmoud NAMDJOU;Australia / Sweden;Weightlifting;- 56kg (bantamweight);Men's
2;Iran;Gholam Reza TAKHTI;Italy;Wrestling Freestyle;79 - 87kg (light-heavyweight);Men's
3;Iran;Esmail ELM-KHAH;Italy;Weightlifting;- 56kg (bantamweight);Men's
3;Iran;Mohammad Ebrahim SAIFPOUR-SAIDABADI;Italy;Wrestling Freestyle;- 52kg (flyweight);Men's
3;Iran;Mohammad PAZIRAYE;Italy;Wrestling Greco-Roman;- 52kg (flyweight);Men's
3;Iran;Said Ali Akbar HAYDARI;Japan;Wrestling Freestyle;- 52kg (flyweight);Men's
3;Iran;Mohammad Ali SANATKARAN;Japan;Wrestling Freestyle;70 - 78kg (welterweight);Men's
1;Iran;Mohammad NASSIRI-SERESHT;Mexico;Weightlifting;- 56kg (bantamweight);Men's
1;Iran;Abdollah MOVAHED-ARDABILI;Mexico;Wrestling Freestyle;63 - 70kg (lightweight);Men's
2;Iran;Parviz JALAYER;Mexico;Weightlifting;60 - 67.5kg (lightweight);Men's
3;Iran;Abutaleb TALEBI;Mexico;Wrestling Freestyle;52 - 57kg (bantamweight);Men's
3;Iran;Shamseddin SEYED-ABBASSI;Mexico;Wrestling Freestyle;57 - 63kg (featherweight);Men's
2;Iran;Mohammad NASSIRI-SERESHT;Germany;Weightlifting;52 - 56kg (bantamweight);Men's
2;Iran;Rahim ALIABADI;Germany;Wrestling Greco-Roman;- 48kg (light-flyweight);Men's
3;Iran;Ebrahim JAVADIPOUR;Germany;Wrestling Freestyle;- 48kg (light-flyweight);Men's
2;Iran;Mansour BARZEGAR;Canada;Wrestling Freestyle;68 - 74kg (welterweight);Men's
3;Iran;Mohammad NASSIRI-SERESHT;Canada;Weightlifting;- 52kg (flyweight);Men's
2;Iran;Asgari MOHAMMADIAN;Korea Republic;Wrestling Freestyle;52 - 57kg (bantamweight);Men's
2;Iran;Asgari MOHAMMADIAN;Spain;Wrestling Freestyle;57 - 62kg (featherweight);Men's
3;Iran;Amir Reza KHADEM AZGHADI;Spain;Wrestling Freestyle;68 - 74kg (welterweight);Men's
3;Iran;Rasul KHADEM AZGHADI;Spain;Wrestling Freestyle;74 - 82kg (middleweight);Men's
1;Iran;Хадем Азгхади;United States;Wrestling Freestyle;82 - 90kg (light-heavyweight);Men's
2;Iran;Ядиди;United States;Wrestling Freestyle;90 - 100kg (heavyweight);Men's
3;Iran;Азгади;United States;Wrestling Freestyle;74 - 82kg (middleweight);Men's
1;Iran;Хоссейн Таваколи;Australia;Weightlifting;94 - 105kg (heavyweight);Men's
1;Iran;Хуссейн Резазаде;Australia;Weightlifting;+ 105kg (super heavyweight);Men's
1;Iran;Алиреза Дабир;Australia;Wrestling Freestyle;54 - 58kg;Men's
3;Iran;Хади Сайбонехкохал;Australia;Taekwondo;58 - 68 kg;Men's
1;Iran;Хади Саеди Бонехохал;Greece;Taekwondo;58 - 68 kg;Men's
1;Iran;Хоссейн Резазаде;Greece;Weightlifting;+ 105kg (super heavyweight);Men's
2;Iran;Масуд Джокар;Greece;Wrestling Freestyle;55 - 60kg;Men's
2;Iran;Алиреза Резаи;Greece;Wrestling Freestyle;96 - 120kg;Men's
3;Iran;Йоссеф Карами;Greece;Taekwondo;68 - 80 kg;Men's
3;Iran;Алиреза Хейдари;Greece;Wrestling Freestyle;84 - 96kg;Men's
1;Iran;Hadi SAEI;China;Taekwondo;68 - 80 kg;Men's
3;Iran;Seyedmorad MOHAMMADI;China;Wrestling Freestyle;55 - 60kg;Men's
1;Iran;Saeid Mohammadpour;Great Britain;Weightlifting;85 - 94kg (middle-heavyweight);Men's
1;Iran;Navab NASIRSHELAL;Great Britain;Weightlifting;94 - 105kg (heavyweight);Men's
1;Iran;Behdad SALIMIKORDASIABI;Great Britain;Weightlifting;+ 105kg (super heavyweight);Men's
1;Iran;Komeil GHASEMI;Great Britain;Wrestling Freestyle;96 - 120kg;Men's
1;Iran;Hamid Mohammad SORYAN REIHANPOUR;Great Britain;Wrestling Greco-Roman;- 55kg;Men's
1;Iran;Omid Haji NOROOZI;Great Britain;Wrestling Greco-Roman;55 - 60kg;Men's
1;Iran;Ghasem Gholamreza REZAEI;Great Britain;Wrestling Greco-Roman;84 - 96kg;Men's
2;Iran;Ehsan HADADI;Great Britain;Athletics;discus throw;Men's
2;Iran;Mohammad BAGHERI MOTAMED;Great Britain;Taekwondo;58 - 68 kg;Men's
2;Iran;Kianoush ROSTAMI;Great Britain;Weightlifting;77 - 85kg (light-heavyweight);Men's
2;Iran;Sajjad ANOUSHIRAVANI HAMLABAD;Great Britain;Weightlifting;+ 105kg (super heavyweight);Men's
2;Iran;Sadegh Saeed GOUDARZI;Great Britain;Wrestling Freestyle;66 - 74kg;Men's
3;Iran;Ehsan Naser LASHGARI;Great Britain;Wrestling Freestyle;74 - 84kg;Men's
1;Iran;ROSTAMI Kianoush;Brazil;Weightlifting;77 - 85kg (light-heavyweight);Men's
1;Iran;MORADI Sohrab;Brazil;Weightlifting;85 - 94kg (middle-heavyweight);Men's
1;Iran;YAZDANICHARATI Hassan Aliazam;Brazil;Wrestling Freestyle;74kg;Men's
2;Iran;GHASEMI Komeil Nemat;Brazil;Wrestling Freestyle;125kg;Men's
3;Iran;ALIZADEH ZENOORIN Kimia;Brazil;Taekwondo;49 - 57 kg;Women's
3;Iran;RAHIMI Hassan Sabzali;Brazil;Wrestling Freestyle;57kg;Men's
3;Iran;ABDVALI Saeid Morad;Brazil;Wrestling Greco-Roman;75kg;Men's
3;Iran;REZAEI Ghasem Gholamreza;Brazil;Wrestling Greco-Roman;98kg;Men's
1;Iran;GANJZADEH Sajad;Japan;Karate;Kumite + 75kg;Men's
1;Iran;FOROUGHI Javad;Japan;Shooting;10m air pistol;Men's
1;Iran;GERAEI Mohammadreza;Japan;Wrestling Greco-Roman;67kg;Men's
2;Iran;DAVOUDI Ali;Japan;Weightlifting;+ 109kg;Men's
2;Iran;YAZDANICHARATI Hassan;Japan;Wrestling Freestyle;86kg;Men's
3;Iran;ZARE Amir Hossein;Japan;Wrestling Freestyle;125kg;Men's
3;Iran;SARAVI Mohammadhadi;Japan;Wrestling Greco-Roman;97kg;Men's
3;Iraq;Abdul WAHID AZIZ;Italy;Weightlifting;60 - 67.5kg (lightweight);Men's
1;Ireland;Patrick O'CALLAGHAN;Netherlands;Athletics;hammer throw;Men's
1;Ireland;Robert Morton Newburgh TISDALL;United States;Athletics;400m hurdles;Men's
1;Ireland;Patrick O'CALLAGHAN;United States;Athletics;hammer throw;Men's
2;Ireland;John MCNALLY;Finland;Boxing;51 - 54kg (bantamweight);Men's
1;Ireland;Ron DELANY;Australia / Sweden;Athletics;1500m;Men's
2;Ireland;Frederick TIEDT;Australia / Sweden;Boxing;63.5 - 67kg (welterweight);Men's
3;Ireland;John CALDWELL;Australia / Sweden;Boxing;- 51kg (flyweight);Men's
3;Ireland;Frederick GILROY;Australia / Sweden;Boxing;51 - 54kg (bantamweight);Men's
3;Ireland;Anthony BYRNE;Australia / Sweden;Boxing;57 - 60kg (lightweight);Men's
3;Ireland;James MCCOURT;Japan;Boxing;57 - 60kg (lightweight);Men's
2;Ireland;David WILKINS/James WILKINSON;USSR;Sailing;flying dutchman;Mixed
3;Ireland;Hugh RUSSELL;USSR;Boxing;48 - 51kg (flyweight);Men's
2;Ireland;John TREACY;United States;Athletics;marathon;Men's
1;Ireland;Michael CARRUTH;Spain;Boxing;63.5 - 67kg (welterweight);Men's
2;Ireland;Wayne MCCULLOUGH;Spain;Boxing;51 - 54kg (bantamweight);Men's
1;Ireland;Смит;United States;Swimming;400m freestyle;Women's
1;Ireland;Смит;United States;Swimming;200m individual medley;Women's
1;Ireland;Смит;United States;Swimming;400m individual medley;Women's
3;Ireland;Смит;United States;Swimming;200m butterfly;Women's
2;Ireland;Соня О'Салливан;Australia;Athletics;5000m;Women's
2;Ireland;Kenny EGAN;China;Boxing;75 - 81kg (light-heavyweight);Men's
3;Ireland;Paddy BARNES;China;Boxing;- 48kg (light-flyweight);Men's
3;Ireland;Darren John SUTHERLAND;China;Boxing;69 - 75kg (middleweight);Men's
1;Ireland;Katie TAYLOR;Great Britain;Boxing;51 - 60kg (lightweight);Women's
2;Ireland;John Joe NEVIN;Great Britain;Boxing;52 - 56kg (bantamweight);Men's
3;Ireland;Robert Heffernan;Great Britain;Athletics;50km walk;Men's
3;Ireland;Paddy BARNES;Great Britain;Boxing;- 49kg (light-flyweight);Men's
3;Ireland;Michael CONLAN;Great Britain;Boxing;49 - 52kg (flyweight);Men's
3;Ireland;Cian OCONNOR;Great Britain;Equestrian Jumping;individual;Mixed
2;Ireland;O'Donovan/O'Donovan;Brazil;Rowing;lightweight double sculls (2x);Men's
2;Ireland;MURPHY Annalise;Brazil;Sailing;Laser Radial - One Person Dinghy;Women's
1;Ireland;HARRINGTON Kellie Anne;Japan;Boxing;57 - 60kg (lightweight);Women's
1;Ireland;Mc CARTHY Fintan/O'DONOVAN Paul;Japan;Rowing;lightweight double sculls (2x);Men's
3;Ireland;WALSH Aidan;Japan;Boxing;63 - 69kg (welterweight);Men's
3;Ireland;HEGARTY Emily/LAMBE Eimear/KEOGH Aifric/MURTAGH Fiona;Japan;Rowing;four without coxswain (4-);Women's
2;Israel;Yael ARAD;Spain;Judo;56 - 61kg (half-middleweight);Women's
3;Israel;Shay Oren SMADJA;Spain;Judo;65 - 71kg (lightweight);Men's
3;Israel;Фридман;United States;Sailing;board (Mistral) - Windsurfer;Men's
3;Israel;Михаил Колганов;Australia;Canoe Sprint;K-1 500m (kayak single);Men's
1;Israel;Гал Фридман;Greece;Sailing;board (Mistral) - Windsurfer;Men's
3;Israel;Ариэль Зееви;Greece;Judo;90 - 100kg (half-heavyweight);Men's
3;Israel;Shahar ZUBARI;China;Sailing;RS:X - Windsurfer;Men's
3;Israel;SASSON Or;Brazil;Judo;+ 100kg (heavyweight);Men's
3;Israel;GERBI Yarden;Brazil;Judo;57 - 63kg (half-middleweight);Women's
1;Israel;DOLGOPYAT Artem;Japan;Gymnastics Artistic;floor exercises;Men's
1;Israel;ASHRAM Linoy;Japan;Gymnastics Rhythmic;individual all-round;Women's
3;Israel;BUTBUL Tohar/KOCHMAN Li/MUKI Sagi/PALTCHIK Peter/SASSON Or/SHMAILOV Baruch/HERSHKO Raz/LANIR Inbar/NELSON LEVY Timna/RISHONY Shira/SHARIR Gili;Japan;Judo;team;Mixed
3;Israel;SEMBERG Abishag;Japan;Taekwondo;- 49 kg;Women's
1;Italy;Enrico Brusoni;France;Cycling Track;points race;Men's
1;Italy;ORESTE/Gian Giorgio TRISSINO;France;Equestrian Jumping;high jump individual;Mixed
1;Italy;Antonio CONTE;France;Fencing;sabre, masters;Men's
2;Italy;ORESTE/Gian Giorgio TRISSINO;France;Equestrian Jumping;long jump individual;Mixed
2;Italy;Italo SANTELLI;France;Fencing;sabre, masters;Men's
1;Italy;G. Alberto BRAGLIA;Great Britain;Gymnastics Artistic;individual all-round;Men's
1;Italy;Enrico PORRO;Great Britain;Wrestling Greco-Roman;- 66.6kg (lightweight);Men's
2;Italy;Emilio LUNGHI;Great Britain;Athletics;800m;Men's
2;Italy;Marcello BERTINETTI/Alessandro PIRZIO BIROLI/Abelardo OLIVIER/Riccardo NOWAK;Great Britain;Fencing;sabre team;Men's
1;Italy;Nedo NADI;Sweden;Fencing;foil individual;Men's
1;Italy;G. Alberto BRAGLIA;Sweden;Gymnastics Artistic;individual all-round;Men's
1;Italy;Luciano SAVORINI/Angelo ZORZI/Lorenzo MANGIANTE/Pietro BIANCHI/G. Alberto BRAGLIA/Serafino MAZZAROCHI/Carlo FREGOSI/Alfredo GOLLINI/Guiseppe DOMENICHELLI/Guido ROMANO/Giorgio ZAMPORI/Adolfo TUNESI/Paolo SALVI/Guido BONI/Francesco LOI/Giovanni MANGIANTE;Sweden;Gymnastics Artistic;team competition;Men's
2;Italy;Pietro SPECIALE;Sweden;Fencing;foil individual;Men's
3;Italy;Fernando ALTIMANI;Sweden;Athletics;10000m walk;Men's
3;Italy;Adolfo TUNESI;Sweden;Gymnastics Artistic;individual all-round;Men's
1;Italy;Ugo FRIGERIO;Belgium;Athletics;3000m walk;Men's
1;Italy;Ugo FRIGERIO;Belgium;Athletics;10000m walk;Men's
1;Italy;Ruggero FERRARIO/Primo MAGNANI/Franco GIORGETTI/Arnaldo CARLI;Belgium;Cycling Track;Team Pursuit (4000m);Men's
1;Italy;Tommaso LEQUIO DI ASSABA;Belgium;Equestrian Jumping;individual;Mixed
1;Italy;Nedo NADI/Giovanni CANOVA/Tullio BOZZA/Antonio ALLOCHIO/Paolo THAON DI REVEL/Aldo NADI/Olivier ABELARDO/Dino URBANI/Andrea MARRAZZI/Tommaso CONSTANTINO;Belgium;Fencing;épée team;Men's
1;Italy;Nedo NADI;Belgium;Fencing;foil individual;Men's
1;Italy;Nedo NADI/Pietro SPECIALE/Oreste PULITI/Baldo BALDI/Aldo NADI/Olivier ABELARDO/Rodolfo TERLIZZI/Tommaso CONSTANTINO;Belgium;Fencing;foil team;Men's
1;Italy;Nedo NADI;Belgium;Fencing;sabre individual;Men's
1;Italy;Nedo NADI/Oreste PULITI/Dino URBANI/Baldo BALDI/Aldo NADI/Francesco GARGANO/Italo SANTELLI/Frederico Secondo CESERANO;Belgium;Fencing;sabre team;Men's
1;Italy;Giorgio ZAMPORI;Belgium;Gymnastics Artistic;individual all-round;Men's
1;Italy;Mangiante Giovanni MANLIO/Luigi MAIOCCO/Vittorio LUCCHETTI/Ettore BELOTTO/Antonio MAROVELLI/Fernando BONATTI/Luigi CONTESSI/Guiseppe DOMENICHELLI/Francesco LOI/Pietro BIANCHI/Roberto FERRARI/Romualdo GHIGLIONE/Michele MASTROMARINO/Giovanni Battista TUBINO/Giorgio ZAMPORI/Ferdinando MANDRINI/Paolo SALVI/Lorenzo MANGIANTE/Angelo ZORZI/Luigi CAMBIASO/Carlo COSTIGLIOLO/Giuseppe PARIS/Arnaldo ANDREOLI/Luigi COSTIGLIOLO/Carlo FREGOSI/Ambrogio LEVATI/Ezio ROSELLI/Pastorini Battista BATTISTA;Belgium;Gymnastics Artistic;team competition;Men's
1;Italy;Giovanni SCATTURIN/Ercole OLGENI/Guido DE FILIP;Belgium;Rowing;pair-oared shell with coxswain;Men's
1;Italy;Filippo BOTTINO;Belgium;Weightlifting;+ 82.5kg, one-two hand 3 events (heavyweight);Men's
2;Italy;Ettore CAFFARATTI/Giulio CACCIANDRA/Garibaldi SPIGHI/Carlo ASINARI;Belgium;Equestrian Eventing;team;Mixed
2;Italy;Alessandro VALERIO;Belgium;Equestrian Jumping;individual;Mixed
2;Italy;Aldo NADI;Belgium;Fencing;sabre individual;Men's
2;Italy;Pietro ANNONI/Erminio DONES;Belgium;Rowing;double sculls (2x);Men's
2;Italy;Pietro Ubaldo BIANCHI;Belgium;Weightlifting;67.5 - 75kg, one-two hand 3 events (middleweight);Men's
3;Italy;Valerio ARRI;Belgium;Athletics;marathon;Men's
3;Italy;Ernesto AMBROSINI;Belgium;Athletics;3000m steeplechase;Men's
3;Italy;Edoardo GARZENA;Belgium;Boxing;53.52 - 57.15kg (featherweight);Men's
3;Italy;CAFFARATTI, ETTORE / CANICHE;Belgium;Equestrian Eventing;individual;Mixed
3;Italy;Giulio CACCIANDRA/Garibaldi SPIGHI/Ettore CAFFARATTI/Alessandro ALVISI;Belgium;Equestrian Jumping;team;Mixed
1;Italy;Ugo FRIGERIO;France;Athletics;10000m walk;Men's
1;Italy;Francesco ZUCCHETTI/Aurelio MENEGAZZI/Alfredo DINALE/Angelo DE MARTINO;France;Cycling Track;Team Pursuit (4000m);Men's
1;Italy;Giulio SARROCCHI/Renato ANSELMI/Bino BINI/Guido BALZARINI/Oreste MORICCA/Marcello BERTINETTI/Oreste PULITI/Vincenzo CUCCIA;France;Fencing;sabre team;Men's
1;Italy;Ferdinando MANDRINI/Luigi MAIOCCO/Luigi CAMBIASO/Mario LERTORA/Giuseppe PARIS/Vittorio LUCCHETTI/Francesco MARTINO/Giorgio ZAMPORI;France;Gymnastics Artistic;team competition;Men's
1;Italy;Francesco MARTINO;France;Gymnastics Artistic;rings;Men's
1;Italy;Pierino GABETTI;France;Weightlifting;- 60kg, one-two hand 5 events (featherweight);Men's
1;Italy;Carlo GALIMBERTI;France;Weightlifting;67.5 - 75kg, one-two hand 5 events (middleweight);Men's
1;Italy;Giuseppe TONANI;France;Weightlifting;+ 82.5kg, one-two hand 5 events (heavyweight);Men's
2;Italy;Romeo BERTINI;France;Athletics;marathon;Men's
2;Italy;Tommaso LEQUIO DI ASSABA;France;Equestrian Jumping;individual;Mixed
2;Italy;Gino SOPRACORDEVOLE/Ercole OLGENI/Giovanni SCATTURIN;France;Rowing;pair-oared shell with coxswain;Men's
3;Italy;Emanuele DI PRALORMO/Alessandro ALVISI/Alberto LOMBARDI/Tommaso LEQUIO DI ASSABA;France;Equestrian Eventing;team;Mixed
3;Italy;Oreste MORICCA/Giovanni CANOVA/Giulio BASLETTA/Virgilio MANTEGAZZA/Marcello BERTINETTI/Vincenzo CUCCIA;France;Fencing;épée team;Men's
3;Italy;Giorgio ZAMPORI;France;Gymnastics Artistic;parallel bars;Men's
3;Italy;Giuseppe CRIVELLI/Simeone CATTALINICH/Latino GALASSO/Carlo TONIATTI/Vittorio GLIUBICH/Pietro IVANOV/Francesco CATTALINICH/Bruno SORICH/Antonio CATTALINICH;France;Rowing;eight with coxswain (8+);Men's
3;Italy;Umberto DE MORPURGO;France;Tennis;singles;Men's
1;Italy;Vittorio TAMAGNINI;Netherlands;Boxing;50.8 - 53.52kg (bantamweight);Men's
1;Italy;Carlo ORLANDI;Netherlands;Boxing;57.15 - 61.24kg (lightweight);Men's
1;Italy;Piero TOSCANI;Netherlands;Boxing;66.68 - 72.57kg (middleweight);Men's
1;Italy;Marco CATTANEO/Luigi TASSELLI/Cesare FACCIANI/Mario LUSIANI;Netherlands;Cycling Track;Team Pursuit (4000m);Men's
1;Italy;Marcello Bertinetti/Carlo Agostoni/Franco Riccardi/Giulio Basletta/Giancarlo Cornaggia-Medici/Renzo Minoli;Netherlands;Fencing;épée team;Men's
1;Italy;Oreste PULITI/Giulio GAUDINI/Giorgio PESSINA/Giorgio CHIAVACCI/Ugo PIGNOTTI/Gioacchino GUARAGNA;Netherlands;Fencing;foil team;Men's
1;Italy;Valerio PERENTIN/Renato PETRONIO/Nicolo VITTORI/Giliante D'ESTE/Giovanni DELISE;Netherlands;Rowing;four-oared shell with coxswain;Men's
2;Italy;Oreste PULITI/Giulio SARROCCHI/Gustavo MARZI/Bino BINI/Renato ANSELMI/Emilio SALAFIA;Netherlands;Fencing;sabre team;Men's
2;Italy;Romeo NERI;Netherlands;Gymnastics Artistic;horizontal bar;Men's
2;Italy;Rita VITTADINI/Clara MARANGONI/Germana MALABARBA/Luigina GIAVOTTI/Luisa TANZINI/Ines VERCESI/Diana PIZZAVINI/Luigina PERVERSI/Virginia GIORGI/Bianca AMBROSETTI/Lavinia GIANONI/Carolina TRONCONI;Netherlands;Gymnastics Artistic;team competition;Women's
2;Italy;Pierino GABETTI;Netherlands;Weightlifting;- 60kg (featherweight);Men's
2;Italy;Carlo GALIMBERTI;Netherlands;Weightlifting;67.5 - 75kg (middleweight);Men's
3;Italy;Carlo CAVAGNOLI;Netherlands;Boxing;- 50.8kg (flyweight);Men's
3;Italy;Giulio GAUDINI;Netherlands;Fencing;foil individual;Men's
3;Italy;Bino BINI;Netherlands;Fencing;sabre individual;Men's
3;Italy;Antonio JANNI/Silvio PIETROBONI/F. GASPERI/A. FERRARIS/Pietro GENOVESI/Umberto CALIGARIS/Enrico RIVOLTA/Alfredo PITTO/Elvio BANCHERO/Fulvio BERNARDINI/Angelo SCHIAVIO/Giovanni DE PRA/Virginio ROSETTA/V. DEGANI/Mario MAGNOZZI/Giampiero COMBI/Adolfo BALONCIERI/P. PASTORE/Delfo BELLINI/Virgilio Felice LEVRATTO/Gino ROSSETTI/A. VIVIANO;Netherlands;Football;football;Men's
3;Italy;Pietro FRESCHI/Cesare ROSSI/Paolo GENNARI/Umberto BONADE;Netherlands;Rowing;four without coxswain (4-);Men's
3;Italy;Giovanni GOZZI;Netherlands;Wrestling Greco-Roman;- 58kg (bantamweight);Men's
3;Italy;Gerolamo QUAGLIA;Netherlands;Wrestling Greco-Roman;58 - 60kg (featherweight);Men's
1;Italy;Luigi BECCALI;United States;Athletics;1500m;Men's
1;Italy;Attilio PAVESI;United States;Cycling Road;individual time trial;Men's
1;Italy;Giuseppe OLMO/Guglielmo SEGATO/Attilio PAVESI;United States;Cycling Road;team time trial;Men's
1;Italy;Paolo PEDRETTI/Alberto GHILARDI/Nino BORSARI/Marco CIMATTI;United States;Cycling Track;Team Pursuit (4000m);Men's
1;Italy;Giancarlo CORNAGGIA-MEDICI;United States;Fencing;épée individual;Men's
1;Italy;Gustavo MARZI;United States;Fencing;foil individual;Men's
1;Italy;Romeo NERI;United States;Gymnastics Artistic;individual all-round;Men's
1;Italy;Savino GUGLIELMETTI/Romeo NERI/Franco TOGNINI/Oreste CAPUZZO/Mario LERTORA;United States;Gymnastics Artistic;team competition;Men's
1;Italy;Romeo NERI;United States;Gymnastics Artistic;parallel bars;Men's
1;Italy;Savino GUGLIELMETTI;United States;Gymnastics Artistic;vault;Men's
1;Italy;Renzo MORIGI;United States;Shooting;25m rapid fire pistol;Men's
1;Italy;Giovanni GOZZI;United States;Wrestling Greco-Roman;56 - 61kg (featherweight);Men's
2;Italy;Gino ROSSI;United States;Boxing;72.57 - 79.38kg (light-heavyweight);Men's
2;Italy;Luigi ROVATI;United States;Boxing;+ 79.38kg (heavyweight);Men's
2;Italy;Guglielmo SEGATO;United States;Cycling Road;individual time trial;Men's
2;Italy;Saverio RAGNO/Giancarlo CORNAGGIA-MEDICI/Carlo AGOSTONI/Renzo MINOLI/Franco RICCARDI;United States;Fencing;épée team;Men's
2;Italy;Rodolfo TERLIZZI/Ugo PIGNOTTI/Gioacchino GUARAGNA/Gustavo MARZI/Giulio GAUDINI/Giorgio PESSINA;United States;Fencing;foil team;Men's
2;Italy;Giulio GAUDINI;United States;Fencing;sabre individual;Men's
2;Italy;Emilio SALAFIA/Ugo PIGNOTTI/Giulio GAUDINI/Renato ANSELMI/Gustavo MARZI/Arturo DE VECCHI;United States;Fencing;sabre team;Men's
2;Italy;Omero BONOLI;United States;Gymnastics Artistic;pommel horse;Men's
2;Italy;Bruno VATTOVAZ/Riccardo DIVORA/Giovanni SCHERL/Giovanni PLAZZER/Bruno PAROVEL;United States;Rowing;four-oared shell with coxswain;Men's
2;Italy;Cesare MILANI/Renato BRACCI/Guglielmo DEL BIMBO/Dino BARSOTTI/Renato BARBIERI/Mario BALLERI/Vittorio CIONI/Enrico GARZELLI/Roberto VESTRINI;United States;Rowing;eight with coxswain (8+);Men's
2;Italy;Carlo GALIMBERTI;United States;Weightlifting;67.5 - 75kg (middleweight);Men's
2;Italy;Marcello NIZZOLA;United States;Wrestling Greco-Roman;- 56kg (bantamweight);Men's
3;Italy;Ugo FRIGERIO;United States;Athletics;50km walk;Men's
3;Italy;Ruggero MAREGATTI/Luigi FACELLI/Giuseppe CASTELLI/Edgardo TOETTI;United States;Athletics;4x100m relay;Men's
3;Italy;Bruno PELLIZZARI;United States;Cycling Track;sprint individual;Men's
3;Italy;Carlo AGOSTONI;United States;Fencing;épée individual;Men's
3;Italy;Giulio GAUDINI;United States;Fencing;foil individual;Men's
3;Italy;Mario LERTORA;United States;Gymnastics Artistic;floor exercises;Men's
3;Italy;Giovanni LATTUADA;United States;Gymnastics Artistic;rings;Men's
3;Italy;Antonio GARZONI PROVENZANI/Giliante D'ESTE/Antonio GHIARDELLO/Francesco COSSU;United States;Rowing;four without coxswain (4-);Men's
